arg1,arg2,word,sentence,verb_idx,label
монополия,,атом,0 1910 гр кислой соли нейтрализованной едким кали дали 0 2255 гр средней нейтральнойкалиевой соли триметилуксусной кислоты теория же требовала бы получения 0 2065 гр для формулы С6Н9КO2 2С5Н10O2 и 0 2179 гр для формулы С5Н9КO2 С10Н18О3 Во всяком случае можно сказать определенно что эта кислая соль содержит 3 частицы кислоты на 1 атом металла а не 2 частицы кислоты как в случае калиевой соли уксусной кислоты Вода легко смачивает сухую соль в малом количестве воды при нагревании она растворяется но прибавка большего количества воды разлагает ее раствор мутится и свободная кислота всплывает в виде слоя ,1 ,0
монополия,больший,атом,0 по крайней мере для части молекул воды Хорошо известно что в жидкостях с невысокой вязкостью эффект Мессбауэра отсутствует из-за больших по сравнению с твердым телом смещений атомов и больших диффузионных уширений мессбауэровской линии Это относится и к РРМИ ,1 ,0
монополия,,атом,100 Время от момента образования атома затрачиваемое на очистку и транспорт к детектору излучения составляет по прямым измерениям ,1 ,0
монополия,обычный,атом,100 тысяч атомов водорода Но в холодных плотных газопылевых сгустках почти все атомы обычного водорода связаны в молекулы Н2 а их вакантные места в примесных молекулах активно занимают атомы дейтерия Чаше дейтерию удается выбить из молекулы только один атом простого водорода но случаются и многократно дейтерированные молекулы ,1 ,0
монополия,,атом,1080 1154 Однако в основе его комментариев к учению об атомах и пустоте лежала мистика платоно-августинской религиозности Нет столь ложной школы которая не имела бы некоторой примеси истины хотя эта истина и затемняется примесью чего-нибудь ложного ,2 ,1
монополия,,атом,10 8 лет атомная масса представляет собой среднее из масс и относительных распространенностей изотопов У элементов не имеющих стабильных и долгоживущих изотопов вместо атомной массы в квадратных скобках приведено массовое число наиболее долгоживущего изотопа равное округленной до целого числа массе атома или числу протонов и нейтронов в атомном ядре В круглых скобках приведены гипотетические массовые числа Р-устойчивых изотопов ,1 ,0
различный,,атом,10 Трудно понять на мой взгляд почему Эрленмейер принимает что отделение водорода происходит каждый раз от двух различных атомов углерода янтарной кислоты Эта точка зрения предполагает различие атомов водорода в этилене а если бы все 4 атома водорода в маслородном газе были различны должны были бы существовать 4 изомера ,1 ,0
различный,,атом,112 Наука свободна и прагматична в установлении своего объекта и своих проблем она вольна спрашивать и об удельном весе атомов и о числе галок на крестах считать звезды на небе или проникать в глубины земли это ее дело но при известном задании при данных элементах проблемы действует уже объективная логика вещей некоторая железная необходимость повелевающая прийти к тому или иному заключению если только не делать надругательства над очевидностью и не провозглашать что 2 ,1 ,0
материальный,который,атом,1.1 3 Модель Демокрита Атомистическая программа Левкиппа Демокрита в до н э была основана на идее существования мельчайших более неделимых частиц атомов которые и составляют весь материальный мир Атомы двигаются в пустоте и разнообразны по форме при столкновениях они сцепляются и образуют тела причем разнообразие тел объяснялось различностью атомов ,2 ,1
отдельный,массивный,атом,117977 Москва ул Косыгина д 4 ИХФ РАН тел 095 939 71 01 факс 095 137 83 18 Нанометровый масштаб измерений по ряду многих данных свидетельствует о том что вещество в виде частиц нанометрового размера приобретает новые свойства как по сравнению с отдельными атомами так и с массивным твердым телом Помимо особых свойств изолированных нанокластеров новые качества вещества возникают при объединении кластеров в наноструктуру или при формировании матричных наносистем 1 ,1 ,0
