arg1,arg2,word,sentence,verb_idx,label
небо,,алмаз,10.52 Чабанов лично выясняет договорился ли я о встрече с Алмаз 11.00 ,2 ,0
небо,,алмаз,11 А дела прибывали дела кучею русских пленных прошениями армянских семей которые стремились перекочевать в Россию алмазами Аббасовых жен слухами о поражениях Паскевича туманами тысячами туманов ложились на стол Аббас был нищ Адербиджан был гол ,3 ,1
небо,,алмаз,11 декабря 1957 г важная дата в истории отечественной противовоздушной обороны 45 лет назад на вооружение частей Войск ПВО был принят самый известный зенитный ракетный комплекс века С 75 сработанный коллективом НПО Алмаз законодателя мод в мировом зенитном ракетостроении Юбиляр отпраздновал в конце прошлого года еще одну круглую дату 40 лет назад в октябре 1962 г боевые расчеты С 75 подтвердили свою высокую боевую эффективность при защите Кубы во время Карибского кризиса уничтожив высотный американский самолет-разведчик Локхид 2 Публикуемые ,1 ,0
небо,,алмаз,13 апреля накануне Святой я узнал что Куропаткин назначен генерал-адъютантом и отвез ему золотой аксельбант в октябре А М из Крыма прислала нам корзину винограда отношения стали менее официальными В феврале в Петербург приехал эмир Бухарский приславший мне свой орден короны с алмазами очень плохими для него Куропаткин устроил вечер на котором д-р Пясецкий показывал свои панорамы поездки государя во Францию 1901 и коронации Осенью под Курском происходили большие маневры на которых Куропаткин командовал одной стороной начальником его штаба был Сухомлинов который мне потом жаловался что Куропаткин на маневрах всех засуетил и замучил ,2 ,0
небо,,алмаз,16 января прибыл президент Якутии-Саха Михаил Ефимович Николаев в сопровождении алмазных баронов А Кирилин С Улин В Руднев Цель знакомство с израильским производством по обработке алмазов и налаживание соответствующих связей Израиль наряду с Бомбеем и Антверпеном один из мировых центров обработки алмазов ,1 ,0
небо,,алмаз,17.00 Пунктуальный еврей Дэвид Левер директор израильского агентства Алмаз вторгается в мой офис в сопровождении целой свиты Грузного капиталиста сопровождает шумная толпа переводчиков менеджеров из отдела согласований юристов и руководителя отдела продаж ,3 ,1
яхонтовый,,алмаз,1763 г Здесь было все учение о металлах и минералах о слоях земных о рудных местах и прииске их об учреждении рудников о движении воздуха в рудниках наконец о выплавке металлов весь обширный комплекс вопросов касающихся развития горной промышленности Пойдем ныне по своему Отечеству писал Ломоносов станем искать металлов золота серебра и прочих станем добираться отменных камней мраморов аспидов и даже до изумрудов яхонтов и алмазов Дорога будет не скучна в которой хотя и не везде сокровища нас встречать станут однако везде увидим минералы в обществе потребные которых промыслы могут принести не последнюю прибыль ,2 ,0
яхонтовый,,алмаз,17 апреля 1997 года судебные исполнители Мирнинского горсуда получили из Якутска соответствующие документы дающие им право взыскать с Инвест- Алмаза требуемые суммы ,1 ,0
яхонтовый,,алмаз,17 Борт вид алмаза образованный сростком микроскопических кристаллов Султанов задумчиво глядел на холм ,1 ,0
яхонтовый,,алмаз,1806 г Сохочин и Пултуск 1807 г Янково Гоф Прейсиш-Эйдау золотая шпага Гутштадт золотая шпага с алмаз и Фридланд Георгия 3 й ст 1808 г генерал-маиор 1812 г Динабург Кляетицы Головщизна чин генерал-лейтенанта Полоцк Владимира 2 й ст и Анны 1 й ст с алмаз Сколянцы вторично Анны 1 й ст с алмаз 1812 г Люцен и Бауцен Александра-Невского и 1814 г Париж Але ксандра Невскаго с алмазами С 1813 года был начальником артилерии главной действующей армии переименованной в 1816 году в первую армию в 1819 году генерал от артилерии в 1831 г пожаловано вензелевое изображение Государя Императора на эполеты а в 1833 г пробыв 20 лет начальником артилерии армии получил Высочайший рескрипт с Монаршею признательностью за постоянные устройство и порядок в артилерии 1 й армии с увольнением по совершенно расстроенному здоровью от исполиения должности впредь до выздоровления в том же году получил орден Андрея Первозванного ,2 ,0
