arg1,arg2,word,sentence,verb_idx,label
человек,,ад,107 Рашид ад 108 ,1 ,0
человек,,ад,10 Однако никто из девиц в конечном счете не пытался противиться ни одна из проституток не хотела признаться что ее собственная лень безделье и в то же время желание жить лучше чем позволяли возможности и способности держат ее в этом аду как они сами зачастую именовали свое существование в домах терпимости Чем выше был уровень образованности проститутки а среди них были и владевшие несколькими иностранными языками тем более стремилась она оправдать достоинства своей профессии ,2 ,1
человек,,ад,110 Рашид ад 111 ,1 ,0
человек,,ад,112 7 Владыко Господи чудеса Твои и судьбы Твои кто может исповедать Я грешник начал уже погибать едва не вселилась во ад душа моя Евлогий взял воду и умыл ноги мои по обычаю предложил и трапезу ,1 ,0
человек,,ад,1187 год Иерусалим завоёван Салах ад 1244 год ,1 ,0
человек,,ад,12 Волынский прошел через сущий ад и если б его даже помиловали это лишь ненадолго оттянуло бы мучительный конец Он был весь размолот внутри и не мог жить ,3 ,1
человек,,ад,14 летний мальчик взобрался на обрубок и начал жестоко безумствовать он скоро привлек к себе главную массу народа Побежденный могучими эмоциями маленький мальчик поднял руки и роняя платок омоченный слезами и потом воскликнул Так о грешник ты полетишь в ад если не отступишь от своих грехов и не вернешься к Господу В этот момент некоторые упали на землю подобно пораженным в битве и дело пошло дал ,1 ,0
человек,,ад,14 ноября Нет теперь мне не страшен ад Более тридцати часов без перерыва шел бой за деревню до которой мне нет никакого дела ,2 ,1
человек,,ад,155 Насколько человек погрузится в смирение настолько преуспеет и вознесется Гордость если бы приблизилась к небу то низводится даже до ада так напротив смирение если бы низошло до ада оттуда возводится даже до неба 156 Подвиг без смирения суетен ,1 ,0
человек,,ад,160 сд с одним 753 птп продолжала выдвижение к реке Клевень положение уточняется 753 птп без одного АД выходит в район сосредоточения дивизий к исходу 21.9 41 г 2 6 гмп выходит в район дивизий к исходу дня ,3 ,1
человек,,ад,16 Ивлева И Н Помогайло АД и др Кинетика и катализ 1979 т 20 5 с 1282 ,3 ,1
человек,,ад,17 Дела определяются их целями то дело называется великим у которого великая цель 18 Едешь по Невскому взглянешь на Сенную облака цвета дыма багровый шар заходящего солнца Дантов ад 19 Доход в 25 50 тысяч но все-таки застреливается от нужды ,1 ,0
человек,,ад,1844 г стр 272 и 273 прим Ад Б новейшего времени ,3 ,1
человек,,ад,1890 году и увидена и изжита до дна Именно увидено то что увидел Коробкин Дом домом ком комом фасад за фасадом ад адом Москва Или Странно гиблемым выглядел собственный дом ,2 ,1
