arg1,arg2,word,sentence,verb_idx,label
другой,,акула,13 из них со смертельным исходом то есть менее одного случая в год Если добавить других акул например тигровую и голубую то число жертв возрастет но все-таки не настолько чтобы сравниться с числом людей ежегодно умирающих от нападения собак Дождливый Лондон ,1 ,0
другой,,акула,1985 т 6 с 61 поверхностно-активные вещества отпугивают акул 1985 1463 с 30 ,1 ,0
другой,,акула,1 Биологический пример внешняя морфология дельфина акулы ископаемого ихтиозавра почти одинакова хотя это различные живые существа Они имели одинаковые условия среды и одинаковый способ существования в среде в результате чего и возникло их морфологическое тождество ,1 ,0
другой,,акула,20 ноября До сих пор плывем в окружении акул империализма Электричество кончилось ,2 ,1
другой,,акула,3 Осенью 1910 го года брата и меня отправили с гувернером в Берлин на три месяца дабы выправить нам зубы у брата верхний ряд выпячивался из-под губы а у меня они все росли как попало один даже добавочный шел из середины неба как у молодой акулы Все это было прескучно ,1 ,0
другой,,акула,68 Акулы В первом месяце плавания экспедиция не терпела недостатка ни в продовольствии ни в пресной воде ,1 ,0
другой,,акула,7 Конечно же в начале начал гуппи и меченосцы облаченные словно в пеньюар золотые рыбки с розовыми с детское блюдечко глазами и только потом морские миноги паразитирующие присасывающиеся к жертве и раздирающие языком утыканным зубами ее плоть в клочья наслаждающиеся вкусом и запахом свежей крови хотя запахом нет и беспомощными конвульсиями только потом акулы со злоглядящими желтыми глазами и сам Мировой океан где каждое движение беззвучно где нет криков охов и стенаний где нет вообще никакого звука связанного со всяким наземным прояв лением жизни или скаты парящие словно орлы или рыбы-мотыльки ничем не отличающиеся от своих сухопутных братьев зеркальное отражение зазеркальный мир воспроизводящий почти в точности мир воздушный только летать заменяется на плавать со всеми вытекающими отсюда последствиями фантастическая симметрия шутка Создателя исполненная глубокого смысла жизнь выше стихии какой бы яростной она ни казалась или клювокрылые ,1 ,0
похожий,,акула,7 Тридцать процентов против советской власти Многие годы мне довелось общаться с одним редактором профессиональным разоблачителем империалистической идеологии который сам был когда-то похож на акулу империализма а потом на черепаху Тортилу Он был настолько карикатурно несимпатичен что его охотно приглашали на лекции и телевизионные интервью западные реакционеры ,2 ,1
похожий,,акула,О натуре белка желточных кристаллов яиц акулы У пойманной рыбаками и принесенной на зоологическую станцию найдено было в яичнике до 25 яиц ,1 ,0
другой,,акула,но разнствовала тем что имела маленький рот и заднее брюшное перо Хвост у ней был откушен вероятно другою акулою и потому ни о сей части ее тела ни о всей длине ее ничего положительного сказать нельзя 7 В полдень находились мы от группы Фарельонес на 41 1 2 в 23 милях ,1 ,0
морской,,акула,А был океан правда был И морское дно и акула и черепа и сокровища Все было честное слово сам видел ,1 ,0
морской,,акула,А вдруг здесь акулы водятся испуганно произнес Карандаш Как вы думаете профессор здесь есть акулы Конечно есть но вы не бойтесь к самому берегу они не подплывают ,1 ,0
жареный,,акула,А верно здорово Стаи жареных акул Они потащили лодку на берег ,1 ,0
жареный,,акула,авиационном мире и героем фильма газетных и журнальных публикаций А недавно от Черной акулы получено потомство двухместный боевой вертолет прозванный Аллигатором ,1 ,0
жареный,,акула,А вот небольшую стайку пеленгаса я засекла Сначала думала акулы очень похожи хвосты а в воде они кажутся просто огромными Морда как у сома крупные чешуины покрывают тело ,1 ,0
жареный,,акула,А вот пчела например видит красный цвет черным У акулы вообще нет цветного зрения Остальные рыбы некоторые цвета воспринимают ,1 ,0
тигровый,,акула,А вот у кусачих сами названия говорят за себя тигровая акул а-лисица акула-людоед Выбираемся на сушу ,1 ,0
тигровый,самый,акула,А вот эта милая рыбешка пожалуй смогла бы тебя слопать И художник показал пальцем на огромную акулу Это тигровая акула самый опасный хищник обитающий в Индийском океане ,1 ,0
тигровый,,акула,А всадник обхватив ногами шершавые бока держась за плавник со смехом проделывал головокружительные петли Акула вертелась в воде била хвостом бросалась вверх и вниз всадник не падал Наконец он нагнулся протянул руку беззвучно щелкнул замком соскочил с рыбины ,1 ,0
тигровый,,акула,А все потому что акулы плохо видят в черной толще воды объяснил Семен Семенович Тигровая акула ткнулась своей зубастой мордой в подводную лодку но поняв что об этот кусок железа она только обломает свои прекрасные зубы вильнула мощным хвостом и поплыла дальше Дрындолет поплыл вперед и высветил мощным лучом какой-то непонятный предмет лежащий на дне океана ,1 ,0
тигровый,,акула,Австралийские инженеры создали электронное устройство которое пловцы и ныряльщики смогут использовать для отпугивания акул Прибор создает вокруг пловца электрическое поле воздействующее на центральную нервную систему акулы Приблизившись на расстояние двух-трех метров акула начинает испытывать сильные спазмы и нестерпимую боль ,1 ,0
тигровый,алкогольный,акула,Автор одного из материалов полагает что арест рижского прокурора прямое следствие нежелания российских водочных королей предавать огласке информацию о собственных теневых махинациях Еще один материал посвященный акулам алкогольной индустрии рассказывает о судебном разбирательстве в Роттердаме конфликта вокруг прав на известные советские водочные брэнды ,2 ,1
тигровый,,акула,Ага попалась голубушка с торжеством сказал Симпкинс подходя к акуле Бьюсь об заклад сказал Гатлинг что вы сожалеете Симпкинс об отсутствии у акулы рук Почему ,1 ,0
тигровый,,акула,А дальше И выкинуть вас за борт сэр к акулам сэр Акул здесь много сэр ,1 ,0
тигровый,,акула,а двухэтажные старинные омнибусы и канатная дорога индейские каноэ плот старинный парусник белый речной пароход и подводные лодки В иллюминатор с лодки путешественник видит китов акул осьминогов затонувшие корабли Чтобы зритель а вернее участник всего происходящего ни на минуту не потерял ощущения сказочности и доброго шутовства все в этой ненастоящей стране имеет веселый хвостик ,1 ,0
тигровый,,акула,А его жена совладелицей Мэйсиса одного из крупнейших магазинов Америки И вот эти акулы стали торговаться от моего имени Леня стал с ними препираться ,2 ,1
тигровый,,акула,А если акула Это было бы неприятно но нож за поясом и акуле не поздоровится Нгаара скинул старую фуфайку потертые в густой мозаике заплат штаны и бросился в черную воду ,1 ,0
