arg1,arg2,word,sentence,verb_idx,label
пещерный,,артерия,12 Расстройство пищеварительного акта при значительно развитой брайтовой болезни главным образом пассивное и состоит в угнетении условий способствующих всасыванию пищевой смеси 13 замечаемый в течение тифа не может зависеть как утверждают некоторые авторы от ослабления или субпаралитического состояния мышечной оболочки артерий 14 Если гипотеза Ал Шмидта о значении фибринопластического и фибринородного вещества в процессе питания справедлива то она ставит нас на удобный путь для определения образа действия некоторых лекарственных веществ глубоко изменяющих процессы питания организма ,1 ,0
пещерный,,артерия,1578 1657 опубликовавшему после многих экспериментов в 1628 г книгу Анатомическое исследование о движении сердца и крови у животных В ней Гарвей доказал кругооборот крови в организме и предсказал наличие мельчайших сосудов капилляров между артериями и венами Эти сосуды были открыты позднее в 1661 г одним из основателей микроскопической анатомии М Мальпиги ,1 ,0
питательный,,артерия,164 убитых Войска 24 го корпуса проникли глубоко в расположение противника захватили главную питательную артерию его фронта железнодорожную линию Мезоляборч Гуменное Таким образом задача нам поставленная была выполнена и операция сулила большой стратегический успех ,2 ,1
диафрагмальный,парный,артерия,1 верхние диафрагмальные артерии парные питают кровью верхнюю поверхность диафрагмы ,1 ,0
грудной,,артерия,1 верхняя грудная артерия кровоснабжает межреберные мышцы большую и малую грудные мышцы молочную железу ,1 ,0
щитовидный,,артерия,1 верхняя щитовидная артерия кровоснабжает мышцы и слизистую оболочку гортани подъязычную кость щитовидную железу мышцы шеи ниже подъязычной кости грудино-ключично-сосцевидную мышцу ,1 ,0
глазной,,артерия,1 глазная артерия проникающая через зрительный канал в глазницу и кровоснабжающая глазное яблоко его мышцы слезную железу веки слизистую оболочку ячеек решетчатой кости полости носа а своими конечными ветвями кожу и мышцы лба ,1 ,0
затылочный,,артерия,1 затылочная артерия проходит под задним брюшком двубрюшной мышцы в одноименной борозде височной кости кровоснабжает мышцы и кожу затылка ушную раковину твердую оболочку головного мозга ,1 ,0
желудочный,,артерия,1 левая желудочная артерия идет вверх и влево к малой кривизне желудка где анастомозирует с правой желудочной артерией питая кардиальную часть и тело желудка ,1 ,0
ободочный,,артерия,1 левая ободочная артерия кровоснабжает левую часть поперечной и нисходящий отдел ободочной кишки ,1 ,0
